"dialogue_id","movie_title","movie_chapter","chapter_id","place_name","place_category","character_name","gender","house","species","dialogue","dialogue_no_spells"
6898,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","I said I'd get you in. I never said anything about getting you out.","I said I'd get you in. I never said anything about getting you out."
6894,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Harry! Behind you!","Harry! Behind you!"
152,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Vault 713.","Vault 713."
6902,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","That's unfortunate.","That's unfortunate."
149,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","Very well.","Very well."
6835,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","Identification.","Identification."
148,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which.","Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which."
144,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts.","Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts."
6886,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Is it here, Harry? Can you feel anything?","Is it here, Harry? Can you feel anything?"
6852,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","But... Bogrod, there have been special instructions regarding the Lestrange vault.","But... Bogrod, there have been special instructions regarding the Lestrange vault."
6841,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","They know!","They know!"
6891,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","How're we going to reach it?","How're we going to reach it?"
